,played_at,track_name,explicit,duration_ms,type,playlist_url
1710,2017-06-07T09:38:31.335Z,I'm an Albatraoz,True,166848,playlist,https://open.spotify.com/user/akryworuka/playlist/6UJEAu52Vb5O7VEBK8dZP2
1711,2017-04-10T19:55:11.291Z,Life On The Line,False,234600,album,
1712,2017-06-02T23:08:48.494Z,Won't Trade,True,161373,,
1713,2017-05-17T13:55:44.969Z,Return of the Haggis,False,250843,playlist,
1714,2017-05-22T19:38:08.121Z,Make Me Believe In You,False,328920,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZEVXcGxnwyDbJhDT
1715,2017-04-19T21:45:23.103Z,Can You Get to That,False,171560,playlist,
1716,2017-06-07T13:32:29.454Z,On The Moon,False,380200,album,https://open.spotify.com/album/3APzha7n0cOFqWyk6rQJhj
1717,2017-04-21T08:32:37.265Z,Weapon Of Choice (feat. Bootsy Collins) - Remastered Version,False,219813,album,
1718,2017-04-25T12:43:53.121Z,Petenere,False,291973,album,
1719,2017-06-21T19:18:28.549Z,Fama Djam Ganha,False,211733,,
1720,2017-06-05T11:15:34.337Z,Tonight,False,237374,playlist,https://open.spotify.com/user/rayscheijgrond/playlist/64sIrb0wfsN3ckkHxVHoHI
1721,2017-06-23T18:44:07.571Z,Techno Systems - Original Mix,False,497142,playlist,https://open.spotify.com/user/1170891844/playlist/5w75qWvgYJPlowqC1DYUIR
1722,2017-06-26T07:43:40.193Z,Mindenki valakié,False,253746,,
1723,2017-05-22T08:18:06.664Z,Strawberry Letter 23,False,299066,playlist,
1724,2017-06-29T18:06:15.298Z,Desperado - 3LAU Remix,False,204413,playlist,https://open.spotify.com/user/1170891844/playlist/0W2px9Nx94VmoDcfAiIkEv
1725,2017-05-21T13:36:06.853Z,Lepak,False,184938,artist,
1726,2017-04-16T13:06:21.051Z,Down By The Riverside,False,174240,playlist,
1727,2017-04-22T17:23:07.902Z,Shake Your Moneymaker,False,155211,,
1728,2017-05-19T11:51:00.451Z,These Walls Are Melting - Mindsurfer Remix,False,471575,playlist,
1729,2017-05-14T10:46:32.947Z,Slim's Return,False,236306,playlist,
1730,2017-06-24T18:26:31.791Z,Bluebird,False,220413,playlist,https://open.spotify.com/user/1170891844/playlist/29XAftFCmwVBJ64ROX8gzA
1731,2017-04-25T17:59:01.275Z,One Foot Forward,False,375390,playlist,
1732,2017-05-13T19:50:11.481Z,Mean to Me,False,172533,,
1733,2017-04-21T18:48:29.266Z,Sleep Games,False,305023,playlist,
1734,2017-06-04T15:08:36.987Z,Runaway - Del 5 Dub,False,298666,album,https://open.spotify.com/album/1FptUZwFKpRFza1EfkIvOg
1735,2017-04-24T06:40:13.156Z,I Get Lifted - 2004 Remastered Version,False,185560,playlist,
1736,2017-04-15T20:01:52.319Z,Get Lost,False,160497,playlist,
1737,2017-06-07T06:42:28.487Z,Habiba,True,215978,playlist,https://open.spotify.com/user/1170891844/playlist/5ZSewQun1V59quoFUx23UF
1738,2017-05-28T15:55:20.181Z,Channel 1 Suite,False,350520,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX55dNU0PWnO5
1739,2017-04-14T06:30:05.346Z,Let's Stay,False,298000,playlist,
1740,2017-04-05T12:09:03.141Z,Anyway,False,201280,playlist,
1741,2017-05-18T12:32:27.727Z,Tsunami Of Truth,False,385655,album,
1742,2017-04-21T17:12:34.653Z,Ambush in Cairo,False,245040,,
1743,2017-06-17T08:57:32.466Z,You Don't Know Me - Radio Edit,True,213946,playlist,https://open.spotify.com/user/1170891844/playlist/5gA32FfS2f6eB6sLFxumgY
1744,2017-06-06T12:42:02.690Z,Acidcore - Egorythmia Remix,False,426640,playlist,https://open.spotify.com/user/snip3rwarface/playlist/0OEieW2vRqVZRraoFsw4Z4
1745,2017-05-11T15:58:43.618Z,No Groove Where I Come From,False,307453,playlist,
1746,2017-04-14T15:19:58.707Z,János Vitéz,False,231500,playlist,
1747,2017-04-04T11:20:00.605Z,Holy Ghost,False,492600,,
1748,2017-04-06T23:25:59.432Z,Pushin On,False,199560,playlist,
1749,2017-04-19T15:15:48.914Z,Somos Dos,False,237293,,
